date,open,high,low,close,volume
2025-02-07T09:15:00.000+01:00,1014.4,1019.15,1003.0,1009.8,15906
2025-02-07T09:16:00.000+01:00,1010.9,1011.3,1009.3,1010.15,7041
2025-02-07T09:17:00.000+01:00,1010.15,1016.6,1010.15,1013.8,6719
2025-02-07T09:18:00.000+01:00,1013.8,1015.75,1010.7,1014.05,3391
2025-02-07T09:19:00.000+01:00,1013.15,1017.85,1013.15,1014.3,2723
2025-02-07T09:20:00.000+01:00,1015.15,1015.35,1008.7,1009.05,3553
2025-02-07T09:21:00.000+01:00,1009.35,1010.95,1008.6,1009.95,4639
2025-02-07T09:22:00.000+01:00,1009.9,1010.5,1008.8,1010.5,2696
2025-02-07T09:23:00.000+01:00,1010.5,1010.5,1009.4,1009.55,1484
2025-02-07T09:24:00.000+01:00,1009.55,1010.0,1009.55,1009.55,1789
2025-02-07T09:25:00.000+01:00,1009.55,1011.0,1009.55,1010.7,2516
2025-02-07T09:26:00.000+01:00,1011.0,1011.5,1009.95,1009.95,3704
2025-02-07T09:27:00.000+01:00,1009.95,1010.2,1009.95,1010.2,916
2025-02-07T09:28:00.000+01:00,1010.2,1011.5,1010.2,1011.5,726
2025-02-07T09:29:00.000+01:00,1011.5,1012.65,1011.5,1012.65,10567
2025-02-07T09:30:00.000+01:00,1012.65,1013.45,1011.8,1012.15,4595
2025-02-07T09:31:00.000+01:00,1012.15,1012.15,1010.85,1011.2,25
2025-02-07T09:32:00.000+01:00,1011.2,1012.45,1011.2,1011.65,1972
2025-02-07T09:33:00.000+01:00,1012.15,1012.25,1011.45,1012.25,910
2025-02-07T09:34:00.000+01:00,1012.25,1012.5,1010.7,1010.7,2062
2025-02-07T09:35:00.000+01:00,1010.7,1011.0,1010.0,1011.0,282
2025-02-07T09:36:00.000+01:00,1011.0,1011.95,1011.0,1011.95,602
2025-02-07T09:37:00.000+01:00,1011.95,1012.45,1011.65,1012.45,180
2025-02-07T09:38:00.000+01:00,1012.45,1014.0,1012.2,1014.0,3042
2025-02-07T09:39:00.000+01:00,1014.0,1015.0,1013.5,1014.9,6157
2025-02-07T09:40:00.000+01:00,1015.3,1019.25,1014.2,1014.8,8378
2025-02-07T09:41:00.000+01:00,1014.2,1015.0,1013.95,1014.3,509
2025-02-07T09:42:00.000+01:00,1015.0,1015.0,1013.75,1013.8,1273
2025-02-07T09:43:00.000+01:00,1013.15,1013.7,1012.35,1012.35,684
2025-02-07T09:44:00.000+01:00,1012.35,1014.75,1012.35,1013.25,1311
2025-02-07T09:45:00.000+01:00,1013.25,1013.25,1012.95,1013.25,469
2025-02-07T09:46:00.000+01:00,1013.25,1014.7,1013.25,1013.5,985
2025-02-07T09:47:00.000+01:00,1013.5,1014.4,1013.35,1013.35,1077
2025-02-07T09:48:00.000+01:00,1013.35,1013.45,1013.35,1013.35,59
2025-02-07T09:49:00.000+01:00,1013.35,1014.85,1013.1,1013.65,1073
2025-02-07T09:50:00.000+01:00,1013.65,1014.45,1013.3,1013.45,816
2025-02-07T09:51:00.000+01:00,1013.45,1013.65,1013.3,1013.65,107
2025-02-07T09:52:00.000+01:00,1013.65,1013.85,1012.85,1012.95,881
2025-02-07T09:53:00.000+01:00,1012.95,1012.95,1012.85,1012.95,80
2025-02-07T09:54:00.000+01:00,1012.95,1013.0,1012.95,1012.95,77
2025-02-07T09:55:00.000+01:00,1012.95,1014.35,1012.05,1014.35,4046
2025-02-07T09:56:00.000+01:00,1014.35,1015.0,1013.05,1013.35,1775
2025-02-07T09:57:00.000+01:00,1013.35,1013.35,1012.6,1012.9,584
2025-02-07T09:58:00.000+01:00,1012.9,1014.75,1012.75,1014.15,575
2025-02-07T09:59:00.000+01:00,1014.15,1014.15,1013.3,1013.3,643
2025-02-07T10:00:00.000+01:00,1013.3,1013.85,1013.25,1013.85,108
2025-02-07T10:01:00.000+01:00,1013.85,1014.0,1013.85,1014.0,171
2025-02-07T10:02:00.000+01:00,1014.0,1014.0,1012.4,1012.8,1535
2025-02-07T10:03:00.000+01:00,1012.8,1013.0,1012.7,1013.0,112
2025-02-07T10:04:00.000+01:00,1013.0,1013.0,1012.8,1012.85,852
2025-02-07T10:05:00.000+01:00,1012.85,1015.0,1012.85,1013.0,3846
2025-02-07T10:06:00.000+01:00,1013.0,1013.8,1012.45,1013.0,5025
2025-02-07T10:07:00.000+01:00,1013.0,1013.0,1012.65,1012.65,434
2025-02-07T10:08:00.000+01:00,1012.65,1012.95,1010.95,1010.95,1819
2025-02-07T10:09:00.000+01:00,1010.95,1014.8,1010.15,1014.75,1536
2025-02-07T10:10:00.000+01:00,1014.25,1014.5,1013.45,1013.45,609
2025-02-07T10:11:00.000+01:00,1013.45,1015.0,1013.45,1015.0,708
2025-02-07T10:12:00.000+01:00,1015.0,1015.0,1013.4,1013.4,4838
2025-02-07T10:13:00.000+01:00,1013.8,1015.0,1013.1,1013.65,678
2025-02-07T10:14:00.000+01:00,1014.85,1015.0,1014.4,1015.0,279
2025-02-07T10:15:00.000+01:00,1015.0,1015.0,1014.5,1014.55,675
2025-02-07T10:16:00.000+01:00,1014.55,1014.55,1013.0,1013.55,527
2025-02-07T10:17:00.000+01:00,1013.55,1013.55,1012.3,1012.45,549
2025-02-07T10:18:00.000+01:00,1012.45,1012.45,1010.0,1010.35,1276
2025-02-07T10:19:00.000+01:00,1010.35,1010.35,1009.35,1009.7,361
