date,open,high,low,close,volume
2025-02-05T09:15:00.000+01:00,981.5,1006.85,981.5,1006.8,7543
2025-02-05T09:16:00.000+01:00,1008.1,1019.0,1008.1,1012.25,15567
2025-02-05T09:17:00.000+01:00,1012.55,1014.75,1007.6,1014.75,2259
2025-02-05T09:18:00.000+01:00,1015.0,1028.0,1013.5,1028.0,9513
2025-02-05T09:19:00.000+01:00,1029.05,1030.25,1019.95,1020.05,10033
2025-02-05T09:20:00.000+01:00,1019.7,1026.6,1017.9,1025.4,8182
2025-02-05T09:21:00.000+01:00,1025.4,1027.65,1023.15,1026.25,4937
2025-02-05T09:22:00.000+01:00,1026.25,1027.9,1024.65,1026.95,4597
2025-02-05T09:23:00.000+01:00,1027.7,1027.7,1026.35,1027.25,3224
2025-02-05T09:24:00.000+01:00,1027.85,1035.45,1027.85,1031.6,10567
2025-02-05T09:25:00.000+01:00,1031.7,1038.45,1031.7,1035.8,8711
2025-02-05T09:26:00.000+01:00,1035.8,1037.0,1033.05,1036.65,12541
2025-02-05T09:27:00.000+01:00,1036.65,1036.65,1033.55,1034.05,3908
2025-02-05T09:28:00.000+01:00,1034.05,1034.05,1029.4,1032.0,8091
2025-02-05T09:29:00.000+01:00,1031.2,1031.4,1025.75,1026.6,9698
2025-02-05T09:30:00.000+01:00,1026.6,1031.95,1024.55,1024.95,6895
2025-02-05T09:31:00.000+01:00,1025.4,1025.6,1016.25,1016.25,8099
2025-02-05T09:32:00.000+01:00,1016.2,1016.2,1010.0,1012.7,6976
2025-02-05T09:33:00.000+01:00,1012.7,1017.8,1012.15,1015.05,4290
2025-02-05T09:34:00.000+01:00,1015.05,1018.1,1013.0,1018.1,2448
2025-02-05T09:35:00.000+01:00,1019.8,1022.4,1017.8,1021.15,3730
2025-02-05T09:36:00.000+01:00,1021.6,1022.9,1018.0,1022.9,8938
2025-02-05T09:37:00.000+01:00,1022.9,1022.95,1018.15,1020.3,4480
2025-02-05T09:38:00.000+01:00,1020.3,1021.05,1018.55,1018.9,2941
2025-02-05T09:39:00.000+01:00,1018.4,1024.8,1017.7,1023.7,4865
2025-02-05T09:40:00.000+01:00,1024.2,1024.7,1022.2,1022.35,2997
2025-02-05T09:41:00.000+01:00,1022.35,1022.9,1020.35,1020.35,3775
2025-02-05T09:42:00.000+01:00,1020.35,1020.95,1019.15,1020.4,1077
2025-02-05T09:43:00.000+01:00,1020.4,1020.75,1019.15,1020.2,1168
2025-02-05T09:44:00.000+01:00,1020.8,1021.85,1019.0,1021.15,1573
2025-02-05T09:45:00.000+01:00,1020.0,1020.0,1015.85,1017.35,4472
2025-02-05T09:46:00.000+01:00,1016.7,1017.4,1013.75,1015.95,3547
2025-02-05T09:47:00.000+01:00,1014.65,1015.75,1013.05,1014.5,4302
2025-02-05T09:48:00.000+01:00,1014.5,1017.7,1014.2,1017.1,724
2025-02-05T09:49:00.000+01:00,1018.35,1019.0,1017.6,1018.7,1221
2025-02-05T09:50:00.000+01:00,1018.3,1021.0,1018.3,1020.4,874
2025-02-05T09:51:00.000+01:00,1020.25,1020.3,1018.0,1020.25,673
2025-02-05T09:52:00.000+01:00,1020.25,1020.8,1019.0,1019.55,1466
2025-02-05T09:53:00.000+01:00,1019.55,1021.3,1019.55,1020.25,769
2025-02-05T09:54:00.000+01:00,1019.85,1021.0,1019.65,1021.0,880
2025-02-05T09:55:00.000+01:00,1021.0,1021.15,1020.35,1020.35,2739
2025-02-05T09:56:00.000+01:00,1019.2,1020.8,1019.05,1020.5,1404
2025-02-05T09:57:00.000+01:00,1020.3,1020.3,1015.15,1016.65,2120
2025-02-05T09:58:00.000+01:00,1015.7,1016.35,1015.1,1015.2,1548
2025-02-05T09:59:00.000+01:00,1015.2,1018.6,1015.2,1018.6,351
2025-02-05T10:00:00.000+01:00,1019.6,1021.05,1018.15,1019.25,1975
2025-02-05T10:01:00.000+01:00,1019.25,1020.85,1018.95,1020.8,2294
2025-02-05T10:02:00.000+01:00,1020.8,1020.8,1019.15,1020.5,429
2025-02-05T10:03:00.000+01:00,1020.5,1020.5,1019.15,1019.2,1075
2025-02-05T10:04:00.000+01:00,1019.0,1019.55,1018.7,1019.45,556
2025-02-05T10:05:00.000+01:00,1019.45,1019.45,1018.6,1018.85,994
2025-02-05T10:06:00.000+01:00,1018.9,1020.0,1018.35,1019.6,445
2025-02-05T10:07:00.000+01:00,1019.75,1025.0,1019.6,1024.25,3474
2025-02-05T10:08:00.000+01:00,1023.9,1028.0,1023.85,1025.45,7923
2025-02-05T10:09:00.000+01:00,1026.15,1029.5,1025.95,1029.5,3551
2025-02-05T10:10:00.000+01:00,1029.5,1031.5,1028.45,1031.45,2437
2025-02-05T10:11:00.000+01:00,1031.95,1033.5,1030.25,1031.0,3726
2025-02-05T10:12:00.000+01:00,1031.0,1034.8,1031.0,1034.0,4995
2025-02-05T10:13:00.000+01:00,1033.2,1034.25,1028.65,1034.15,7049
2025-02-05T10:14:00.000+01:00,1034.15,1034.35,1032.3,1033.65,2903
2025-02-05T10:15:00.000+01:00,1033.65,1037.85,1031.55,1036.7,5803
2025-02-05T10:16:00.000+01:00,1036.7,1037.75,1027.85,1029.9,1287
2025-02-05T10:17:00.000+01:00,1030.0,1030.5,1029.75,1030.0,1613
2025-02-05T10:18:00.000+01:00,1030.0,1031.25,1029.1,1031.1,858
2025-02-05T10:19:00.000+01:00,1031.1,1031.95,1030.0,1030.3,1646
2025-02-05T10:20:00.000+01:00,1030.3,1032.0,1030.3,1031.05,53
2025-02-05T10:21:00.000+01:00,1031.05,1033.1,1031.05,1032.55,497
2025-02-05T10:22:00.000+01:00,1032.55,1034.55,1032.55,1033.6,1397
2025-02-05T10:23:00.000+01:00,1033.6,1036.95,1033.6,1035.9,2966
2025-02-05T10:24:00.000+01:00,1036.5,1036.5,1030.7,1030.7,2110
2025-02-05T10:25:00.000+01:00,1030.7,1034.85,1030.45,1034.85,946
2025-02-05T10:26:00.000+01:00,1034.85,1036.8,1034.6,1036.2,3985
